Restaurant,Category,Items,Cost (USD),Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
mcdonalds,Drink,McD - Mango Pineapple Smoothie,2.89,260,3,1,61,56,0.045
mcdonalds,Sandwich,McD - McChicken,1.75,360,14,16,40,5,0.8
mcdonalds,Sandwich,McD - McDouble,1.19,380,22,17,34,7,0.84
mcdonalds,Drink,McD - McFlurry with M&M’s Candies,2.39,930,20,33,139,128,0.26
mcdonalds,Drink,McD - McFlurry with Oreo Cookies,2.39,690,15,23,106,85,0.38
mcdonalds,Drink,McD - McFlurry with Reese's Peanut Butter Cups ,1.79,810,21,32,114,103,0.4
mcdonalds,Sandwich,McD - McRib,3.69,500,22,26,44,11,0.98
mcdonalds,Side,McD - Medium French Fries,1.79,340,4,16,44,0,0.19
mcdonalds,Drink,McD - Minute Maid 100% Apple Juice Box,1.29,80,0,0,21,19,0.015
mcdonalds,Drink,McD - Minute Maid Orange Juice,1.29,190,3,0,44,39,0
mcdonalds,Drink,McD - Mocha,1.79,410,13,14,60,53,0.19
mcdonalds,Dessert,McD - Oatmeal Raisin Cookie,0.39,150,2,6,22,13,0.135
mcdonalds,Salad,McD - Bacon Ranch Salad (without Chicken),4.59,140,9,7,10,4,0.3
mcdonalds,Sandwich,McD - McWrap Chicken & Bacon (Crispy Chicken),4.39,630,32,32,56,7,1.54
mcdonalds,Sandwich,McD - McWrap Chicken & Bacon (Grilled Chicken),4.39,480,36,19,42,6,1.37
mcdonalds,Sandwich,McD - McWrap Chicken & Ranch (Crispy Chicken),4.39,610,27,31,56,8,1.34
mcdonalds,Sandwich,McD - McWrap Chicken & Ranch (Grilled Chicken),4.39,450,30,18,42,6,1.17
mcdonalds,Sandwich,McD - McWrap Southwest Chicken (Crispy Chicken),4.39,670,27,33,68,12,1.48
mcdonalds,Sandwich,McD - McWrap Southwest Chicken (Grilled Chicken),4.39,520,31,20,55,10,1.32
mcdonalds,Salad,McD - Southwest Salad (without Chicken),4.79,140,6,4.5,20,6,0.15
mcdonalds,Sandwich,McD - Quarter Pounder with Cheese,3.79,520,30,26,41,10,1.1
mcdonalds,Drink,McD - Regular Iced Coffee,1.79,190,1,7,31,30,0.05
mcdonalds,Breakfast,McD - Sausage Biscuit,2.79,430,11,27,34,2,1.08
mcdonalds,Breakfast,McD - Sausage Biscuit with Egg ,2.99,510,18,33,36,2,1.17
mcdonalds,Breakfast,McD - Sausage Burrito,2.39,300,12,16,26,2,0.79
