Category,Items,Cost (USD) ,Calories ,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (g)
Drink,French Vanilla Iced Coffee (Medium),1.79,170,1,7,27,26,0.055
Drink,French Vanilla Iced Coffee (Large),1.99,240,2,9,41,39,0.08
Drink,Iced Mocha (Small),1.39,290,8,11,41,34,0.125
Drink,Iced Mocha (Medium),1.79,350,9,13,50,43,0.15
Drink,Iced Mocha (Large),1.99,480,14,16,70,62,0.22
Drink,Iced Caramel Mocha (Small),1.39,280,8,11,38,33,0.14
Drink,Iced Caramel Mocha (Medium),1.79,340,9,13,46,41,0.17
Drink,Iced Caramel Mocha (Large),1.99,460,13,16,65,59,0.25
Drink,Frappé Mocha (Small),1.39,450,7,18,65,57,0.125
Drink,Frappé Mocha (Medium),1.79,550,9,22,80,71,0.16
Drink,Frappé Mocha (Large),1.99,670,11,26,98,88,0.19
Drink,Frappé Caramel (Small),1.39,450,7,19,64,57,0.125
Drink,Frappé Caramel (Medium),1.79,550,9,23,79,71,0.16
Drink,Frappé Caramel (Large),1.99,670,11,27,96,88,0.19
Drink,Blueberry Pomegranate Smoothie (Small),2.39,220,2,0.5,50,44,0.04
Drink,Blueberry Pomegranate Smoothie (Medium),2.89,260,3,1,62,54,0.05
Drink,Blueberry Pomegranate Smoothie (Large),3.39,340,4,1,79,70,0.065
Drink,Strawberry Banana Smoothie (Small),2.39,210,3,0.5,47,44,0.05
Drink,Strawberry Banana Smoothie (Medium),2.89,250,4,1,58,54,0.06
Drink,Strawberry Banana Smoothie (Large),3.39,330,5,1,74,70,0.08
Drink,Mango Pineapple Smoothie (Small),2.39,210,2,0.5,50,46,0.04
Drink,Mango Pineapple Smoothie (Medium),2.89,260,3,1,61,56,0.045
Drink,Mango Pineapple Smoothie (Large),3.39,340,4,1,78,72,0.06
Drink,Vanilla Shake (Small),2.19,530,11,15,86,63,0.16
Drink,Vanilla Shake (Medium),2.59,660,14,19,109,81,0.2
Drink,Vanilla Shake (Large),2.99,820,18,23,135,101,0.26
Drink,Strawberry Shake (Small),2.19,550,12,16,90,79,0.16
Drink,Strawberry Shake (Medium),2.59,690,15,20,114,100,0.21
Drink,Strawberry Shake (Large),2.99,850,18,24,140,123,0.26
Drink,Chocolate Shake (Small),2.19,560,12,16,91,77,0.24
Drink,Chocolate Shake (Medium),2.59,700,15,20,114,97,0.3
Drink,Chocolate Shake (Large),2.99,850,19,23,141,120,0.38
Drink,Shamrock Shake (Medium),2.59,660,14,19,109,93,0.21
Drink,Shamrock Shake (Large),2.99,820,18,23,135,115,0.26
Drink,McFlurry with M&M’s Candies (Small),1.79,650,13,23,96,89,0.18
Drink,McFlurry with M&M’s Candies (Medium),2.39,930,20,33,139,128,0.26
Drink,McFlurry with Oreo Cookies (Small),1.79,510,12,17,80,64,0.28
Drink,McFlurry with Oreo Cookies (Medium),2.39,690,15,23,106,85,0.38
Drink,McFlurry with Reese's Peanut Butter Cups (Medium),1.79,810,21,32,114,103,0.4
Drink,McFlurry with Reese's Peanut Butter Cups (Snack),2.39,410,10,16,57,51,0.2
