Category,Item,Cost (USD),Calories,Fat (g),Carbs (g),Sugars (g),Protein (g),Sodium (g)
Salad,Smoked Mozzarella & Roasted Peppers,6.99,540,28,53,8,19,1.19
Salad,Smoked Pork Cubano,6.95,450,25,66,3,21,1.2
Salad,Turkey Pastrami Reuben,5.75,500,21,50,3,26,1.13
Salad,Chicken BLT Protein Box,5.75,580,23,58,20,35,1.66
Salad,Chicken Wrap Protein Box,5.25,690,31,77,0,30,1
Salad,Eggs & Cheese Protein Box,5.25,470,25,40,21,23,0.54
Salad,PB&J Protein Box,5.25,520,26,54,30,20,0.57
Salad,Smoked Turkey Protein Box,5.75,570,23,54,20,35,1.62
Breakfast,"Bacon, Gouda & Egg Breakfast Sandwich",3.75,370,18,33,2,18,0.78
Breakfast,Classic Oatmeal,3.45,160,2.5,28,0,5,0.125
Breakfast,"Double-Smoked Bacon, Cheddar & Egg Sandwich",4.25,520,29,42,8,24,1.05
Breakfast,Ham & Cheese Croissant,3.45,320,17,28,5,14,0.49
Breakfast,Hearty Blueberry Oatmeal,3.99,220,2.5,43,13,5,0.125
Breakfast,Reduced-Fat Turkey Bacon & Cage Free Egg White Breakfast Sandwich,3.75,230,5,28,2,18,0.55
Breakfast,"Roasted Ham, Swiss & Egg Breakfast Sandwich",3.75,460,23,43,7,21,0.92
Breakfast,"Sausage, Cheddar & Egg Breakfast Sandwich",3.45,480,29,34,2,18,0.88
Sandwich,Chicken & Double-Smoked Bacon,5.95,620,26,65,11,31,1.46
Sandwich,Chicken Caprese,5.95,500,18,58,3,28,0.9
Sandwich,Crispy Grilled Cheese Sandwich,5.95,540,29,47,1,21,1.06
Sandwich,Ham & Swiss Panini,5.95,490,24,42,2,25,1.25
Sandwich,Tomato & Mozzarella,4.99,350,13,42,2,15,0.58
Sandwich,Turkey Pesto Panini,6.45,540,21,55,3,33,1.19
Dessert,Berry Trio Parfait,3.45,240,2.5,39,26,14,0.125
Dessert,Fresh Blueberries and Honey Greek Yogurt Parfait,3.45,240,2.5,42,29,14,0.1
Dessert,Justin's Chocolate Hazelnut Butter,2.75,180,14,12,7,4,0.065
Dessert,Justin's Classic Almond Butter,2.75,190,18,6,1,7,0
Dessert,Lemon Crunch Yogurt Parfait,3.45,330,12,42,29,14,0.09
Dessert,Mango & Coconut Yogurt Bowl,3.45,250,6,34,26,16,0.06
Drink,Iced Coffee,2.65,80,0,20,20,0,0.01
Drink,Iced Coffee with Milk,2.65,110,1.5,23,23,2,0.04
Drink,Teavana® Shaken Iced Black Tea,2.95,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Black Tea Lemonade,2.95,90,0,23,22,0,0.01
Drink,Teavana® Shaken Iced Green Tea,2.95,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Green Tea Lemonade,2.95,90,0,23,22,0,0.01
Drink,Teavana® Shaken Iced Passion Tango™ Tea,2.95,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,2.95,90,0,23,22,0,0.01
Drink,Blonde Roast,2.1,5,0,0,0,1,0.01
Drink,Featured Dark Roast,2.1,5,0,0,0,1,0.01
Drink,Pike Place® Roast,2.1,5,0,0,0,1,0.01
Drink,Pumpkin Cream Cold Brew,3.25,250,12,31,31,3,0.055
Drink,Starbucks® Cold Brew Coffee,3.25,5,0,0,0,0,0.015
Drink,Starbucks® Cold Brew Coffee with Milk,3.25,35,1.5,3,3,2,0.04
Drink,Vanilla Sweet Cream Cold Brew,3.25,110,5,14,14,1,0.02
Drink,Iced Starbucks® Blonde Caffè Latte,4.55,130,4.5,13,11,8,0.115
Drink,Iced Starbucks® Blonde Caramel Cloud Macchiato,4.45,170,4,28,24,5,0.115
Drink,Iced Starbucks® Blonde Cocoa Cloud Macchiato,4.45,180,4.5,30,25,6,0.14
Drink,Iced Starbucks® Blonde Flat White,4.55,130,4.5,13,11,8,0.12
Drink,Iced Starbucks® Blonde Vanilla Latte,4.55,180,4.5,27,25,8,0.11
Drink,Iced Vanilla Bean Coconutmilk Latte,4.55,180,5,26,25,9,0.125
Drink,Iced White Chocolate Mocha,4.45,300,8,47,46,10,0.19
Drink,Latte Macchiato,4.45,190,7,19,17,12,0.16
Drink,Pumpkin Spice Latte,4.95,310,7,50,48,14,0.23
Drink,Salted Caramel Mocha,4.95,360,8,61,53,12,0.28
Drink,Skinny Mocha,4.65,170,1.5,24,15,14,0.15
Drink,Starbucks Doubleshot® on Ice Beverage,4.95,100,1,20,18,3,0.04
Drink,Starbucks® Blonde Caffè Latte,4.75,190,7,19,18,13,0.17
Drink,Starbucks® Blonde Caramel Cloud Macchiato,4.95,270,7,39,34,11,0.2
Drink,Starbucks® Blonde Cocoa Cloud Macchiato,4.95,280,8,41,36,12,0.24
Drink,Starbucks® Blonde Doubleshot® On Ice,4.95,80,1,15,13,3,0.04
Drink,Starbucks® Blonde Flat White,4.95,180,7,18,17,12,0.16
Drink,Starbucks® Blonde Iced Pumpkin Spice Latte,4.95,220,4.5,37,35,10,0.17
Drink,Starbucks® Blonde Iced Salted Caramel Mocha,4.95,260,5,44,38,8,0.19
Drink,Starbucks® Blonde Pumpkin Spice Latte,4.95,280,7,42,40,13,0.21
Drink,Starbucks® Blonde Salted Caramel Mocha,4.95,320,8,50,43,12,0.24
Drink,Starbucks® Blonde Vanilla Bean Coconutmilk Latte,4.95,190,6,23,21,11,0.15
Drink,Starbucks® Blonde Vanilla Latte,4.95,240,7,33,31,12,0.16
Drink,Vanilla Bean Coconutmilk Latte,4.95,220,6,30,28,11,0.15
Drink,White Chocolate Mocha,4.45,360,11,53,51,14,0.24
Drink,Caffè Vanilla Frappuccino® Blended Coffee,4.45,310,2,69,68,4,0.23
Drink,Caramel Frappuccino® Blended Coffee,4.45,270,2,60,60,4,0.23
Drink,Chai Crème Frappuccino® Blended Crème,4.25,230,2.5,49,48,4,0.22
Drink,Coffee Frappuccino® Blended Coffee,3.95,230,2,50,50,3,0.22
Drink,Double Chocolaty Chip Crème Frappuccino® Blended Crème,5.49,290,7,53,49,6,0.26
Drink,Espresso Frappuccino® Blended Coffee,4.45,220,1.5,50,48,3,0.21
Drink,Java Chip Frappuccino® Blended Coffee,4.45,340,6,68,63,5,0.26
Drink,Matcha Green Tea Crème Frappuccino® Blended Crème,4.45,300,3,64,63,5,0.23
Drink,Mocha Frappuccino® Blended Coffee,4.45,290,3,61,58,4,0.23
Drink,Pumpkin Spice Frappuccino® Blended Beverage,4.95,320,2,71,70,5,0.28
Drink,Pumpkin Spice Frappuccino® Blended Crème,4.95,250,2.5,50,50,6,0.26
Drink,Salted Caramel Mocha Frappuccino® Blended Beverage,4.95,300,2.5,65,62,4,0.27
Drink,Strawberry Frappuccino® Blended Crème,4.95,270,2.5,55,54,4,0.24
Drink,Vanilla Bean Crème Frappuccino® Blended Crème,3.95,270,3,56,56,5,0.24
Drink,White Chocolate Mocha Frappuccino® Blended Coffee,3.95,290,3.5,61,61,4,0.24
Drink,Cinnamon Dolce Crème,4.25,280,7,42,40,12,0.17
Drink,Hot Chocolate,3.25,320,9,47,41,14,0.16
Drink,Pumpkin Spice Crème,4.45,320,7,51,50,15,0.25
Drink,Salted Caramel Hot Chocolate,4.45,390,9,66,59,13,0.3
Drink,Vanilla Crème,3.95,270,7,37,37,12,0.18
Drink,Chai Tea Latte,3.25,240,4.5,45,42,8,0.115
Drink,Chai Tea Latte,3.25,240,3.5,47,43,6,0.09
Drink,Citrus Defender,3.25,160,0,39,35,0,0.02
Drink,Comfort Wellness Brewed Tea,3.25,0,0,0,0,0,0
Drink,Defense Wellness Brewed Tea,3.25,10,0,3,2,0,0.005
Drink,Emperor's Cloud and Mist® Green Tea,3.25,0,0,0,0,0,0
Drink,Honey Citrus Mint Tea,3.25,140,0,36,33,0,0
Drink,Iced Blueberry Black Tea,3.25,100,0,24,21,0,0.015
Drink,Iced Blueberry Black Tea Lemonade,3.25,120,0,30,27,0,0.015
Drink,Iced Chai Tea Latte,3.25,240,4,44,42,7,0.11
Drink,Iced Guava White Tea,3.25,110,0,27,23,0,0.02
Drink,Iced Guava White Tea Lemonade,3.25,130,0,33,29,0,0.02
Drink,Iced Matcha Green Tea Latte,3.25,200,5,29,28,9,0.12
Drink,Iced Matcha Green Tea Latte,3.25,200,4,33,29,8,0.1
Drink,Iced Peach Green Tea,3.25,100,0,25,23,0,0.02
Drink,Iced Peach Green Tea Lemonade,3.25,130,0,31,29,0,0.02
Drink,Jade Citrus Mint Green Tea,3.25,0,0,0,0,0,0
Drink,Jade Citrus Mint™ Brewed Tea,3.25,0,0,0,0,0,0
Drink,Matcha Green Tea Latte,3.25,240,7,34,32,12,0.16
Drink,Matcha Lemonade,3.25,120,0,29,27,1,0.01
Drink,Mint Majesty™ Herbal Tea,3.25,0,0,0,0,0,0
Drink,Peach Tranquility® Herbal Tea,3.25,0,0,0,0,0,0
Drink,Rev Up Wellness Brewed Tea,3.25,0,0,0,0,0,0
Drink,Royal English Breakfast Tea,3.25,0,0,0,0,0,0
Drink,Royal English Breakfast Tea Latte,3.25,150,4,21,21,7,0.105
Drink,Teavana® Chai Tea,3.25,0,0,0,0,0,0
Drink,Teavana® Earl Grey Brewed Tea,3.25,0,0,0,0,0,0
Drink,Teavana® London Fog Tea Latte,3.25,180,4,29,29,7,0.105
Drink,Teavana® Shaken Iced Black Tea,3.25,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Black Tea Lemonade,3.25,90,0,23,22,0,0.01
Drink,Teavana® Shaken Iced Green Tea,3.25,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Green Tea Lemonade,3.25,90,0,23,22,0,0.01
Drink,Teavana® Shaken Iced Passion Tango™ Tea,3.25,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,3.25,90,0,23,22,0,0.01
Drink,Teavana® Shaken Iced White Tea,3.25,45,0,11,11,0,0.01
Drink,Teavana® Shaken Iced White Tea Lemonade,3.25,90,0,23,22,0,0.01
Drink,Iced Teavana® London Fog Tea Latte,3.25,140,2.5,25,25,4,0.07
